Date,Canada,Germany,Italy,Singapore,United States,Vietnam,China
2003-03-17,0.0,0.0,,0.0,,0.0,0
2003-03-18,0.0,0.0,,0.0,,0.0,0
2003-03-19,0.0,0.0,,0.0,0.0,0.0,0
2003-03-20,0.0,0.0,,0.0,0.0,0.0,0
2003-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0
2003-04-10,22.0,2.0,1.0,75.0,0.0,43.0,1179
2003-04-11,25.0,4.0,2.0,77.0,0.0,43.0,1206
2003-04-12,26.0,4.0,2.0,77.0,0.0,,1298
2003-04-14,27.0,4.0,2.0,84.0,0.0,46.0,1317
2003-04-15,27.0,4.0,2.0,85.0,0.0,46.0,1331
2003-04-16,37.0,4.0,2.0,85.0,0.0,46.0,1351
2003-04-17,46.0,4.0,2.0,91.0,0.0,46.0,1379
2003-04-18,54.0,4.0,2.0,100.0,0.0,46.0,1503
2003-04-19,54.0,4.0,2.0,100.0,0.0,46.0,1503
2003-04-21,54.0,4.0,2.0,104.0,0.0,46.0,1623
2003-04-22,65.0,6.0,2.0,110.0,0.0,46.0,1662
2003-04-23,65.0,6.0,2.0,114.0,0.0,46.0,1753
2003-04-24,67.0,6.0,3.0,118.0,0.0,49.0,1821
2003-04-25,74.0,6.0,3.0,126.0,0.0,53.0,1891
2003-04-26,77.0,6.0,3.0,126.0,0.0,53.0,1917
2003-04-28,77.0,6.0,3.0,137.0,0.0,53.0,2009
2003-04-29,86.0,6.0,4.0,139.0,0.0,53.0,2081
2003-04-30,87.0,7.0,4.0,139.0,0.0,53.0,2123
2003-05-01,87.0,7.0,4.0,143.0,23.0,56.0,2185
2003-05-02,93.0,7.0,4.0,146.0,24.0,56.0,2250
2003-05-03,94.0,7.0,4.0,147.0,24.0,58.0,2304
2003-05-05,93.0,7.0,4.0,149.0,26.0,58.0,2363
2003-05-06,93.0,7.0,4.0,149.0,32.0,58.0,2418
2003-05-07,93.0,7.0,5.0,150.0,32.0,58.0,2471
2003-05-08,95.0,7.0,6.0,153.0,33.0,58.0,2537
2003-05-09,94.0,9.0,9.0,153.0,33.0,58.0,2597
2003-05-10,97.0,9.0,9.0,155.0,34.0,58.0,2655
2003-05-12,98.0,9.0,8.0,156.0,34.0,58.0,2759
2003-05-13,99.0,9.0,9.0,157.0,35.0,58.0,2855
2003-05-14,104.0,9.0,9.0,157.0,35.0,58.0,2939
2003-05-15,107.0,9.0,9.0,157.0,35.0,58.0,3018
2003-05-16,106.0,9.0,9.0,157.0,34.0,58.0,3118
2003-05-17,106.0,9.0,9.0,157.0,34.0,58.0,3200
2003-05-19,106.0,9.0,9.0,160.0,34.0,58.0,3361
2003-05-20,106.0,9.0,9.0,161.0,34.0,58.0,3483
2003-05-21,108.0,9.0,9.0,161.0,33.0,58.0,3572
2003-05-22,109.0,9.0,9.0,162.0,33.0,58.0,3692
2003-05-23,109.0,9.0,9.0,163.0,33.0,58.0,3799
2003-05-24,109.0,9.0,9.0,163.0,33.0,58.0,3941
2003-05-26,110.0,9.0,9.0,163.0,33.0,58.0,4105
2003-05-27,111.0,9.0,9.0,163.0,32.0,58.0,4229
2003-05-28,111.0,9.0,9.0,165.0,32.0,58.0,4331
2003-05-29,112.0,9.0,9.0,165.0,32.0,58.0,4423
2003-05-30,112.0,9.0,9.0,165.0,32.0,58.0,4554
2003-05-31,116.0,9.0,9.0,165.0,32.0,58.0,4681
2003-06-02,116.0,9.0,9.0,165.0,32.0,58.0,4815
2003-06-03,116.0,9.0,9.0,165.0,33.0,58.0,4885
2003-06-04,121.0,9.0,9.0,165.0,34.0,58.0,5014
2003-06-05,120.0,9.0,9.0,165.0,34.0,58.0,5114
2003-06-06,120.0,9.0,9.0,165.0,35.0,58.0,5220
2003-06-09,128.0,9.0,9.0,168.0,35.0,58.0,5552
2003-06-10,131.0,9.0,9.0,168.0,36.0,58.0,5663
2003-06-11,134.0,9.0,9.0,168.0,36.0,58.0,5759
2003-06-12,141.0,9.0,9.0,169.0,36.0,58.0,5835
2003-06-13,150.0,9.0,9.0,169.0,36.0,58.0,5911
2003-06-16,156.0,9.0,9.0,169.0,36.0,58.0,6043
2003-06-17,171.0,9.0,9.0,169.0,36.0,58.0,6113
2003-06-18,176.0,9.0,9.0,169.0,36.0,58.0,6156
2003-06-19,175.0,9.0,9.0,170.0,36.0,58.0,6183
2003-06-20,180.0,9.0,9.0,170.0,36.0,58.0,6210
2003-06-23,182.0,9.0,9.0,170.0,36.0,58.0,6307
2003-06-24,188.0,9.0,9.0,170.0,36.0,58.0,6319
2003-06-25,188.0,9.0,9.0,170.0,36.0,58.0,6336
2003-06-26,190.0,9.0,9.0,170.0,36.0,58.0,6341
2003-06-27,191.0,9.0,5.0,171.0,64.0,58.0,6344
2003-06-30,192.0,9.0,5.0,171.0,63.0,58.0,6357
2003-07-01,192.0,9.0,5.0,171.0,63.0,58.0,6360
2003-07-02,192.0,9.0,4.0,171.0,63.0,58.0,6363
2003-07-03,193.0,9.0,4.0,171.0,65.0,58.0,6363
2003-07-04,193.0,9.0,4.0,171.0,65.0,58.0,6365
2003-07-07,193.0,9.0,4.0,171.0,65.0,58.0,6365
2003-07-08,194.0,9.0,4.0,171.0,64.0,58.0,6365
2003-07-09,193.0,9.0,4.0,171.0,67.0,58.0,6371
2003-07-10,194.0,9.0,4.0,172.0,67.0,58.0,6373
2003-07-11,194.0,9.0,4.0,172.0,67.0,58.0,6375
